,product_sku,product_name,picked_pieces,picked_pieces_pickup,ordered_pieces,available,reserved,ordered,picked,shipped
OGCSNGGEM00000001,OGCSNGGEM00000001,"Gemini Refined Soyabean Oil Pouch, 1ltr",132,132,0,0.0,0.0,60.0,360.0,1092.0
OGCSNGFOR00000019,OGCSNGFOR00000019,"Fortune Refined Soya Bean Oil Pouch, 1 Ltr",1664,1664,0,367.0,0.0,896.0,2848.0,22017.0
GRSGRSSOI00000012,GRSGRSSOI00000012,"Saffola Gold Pouch, 1 Ltr",104,104,0,4063.0,0.0,36.0,204.0,1613.0
BNCBNCTOY00000009,BNCBNCTOY00000009,Test WMS live,0,0,0,,,,,
BNCBNCTOY00000008,BNCBNCTOY00000008,TestProduct_2809,18,18,0,,,,,
CNDCNDGPO00000001,CNDCNDGPO00000001,Ghadi Detergent Powder 3 kg,0,0,0,6.0,0.0,0.0,0.0,39.0
TEABEVTTE00000006,TEABEVTTE00000006,Tata Tea Premium 500Gm,102,102,0,870.0,0.0,84.0,114.0,906.0
TEABEVTTE00000005,TEABEVTTE00000005,Tata Tea Premium 1Kg,27,27,0,159.0,0.0,9.0,45.0,270.0
OGCSNGPAS00000004,OGCSNGPAS00000004,"Paras Ghee Tetra, 1 Ltr",33,33,0,166.0,0.0,18.0,45.0,444.0
SCSSNGCAT00000066,SCSSNGCAT00000066,"Catch Turmeric Powder Pouch, 200 gms",38,38,0,21.0,0.0,8.0,38.0,93.0
HOKHOKFPW00000004,HOKHOKFPW00000004,"FENA DETERGENT POWDER, 500 GM FREE SOAP RS-5",55,55,0,4.0,0.0,1.0,80.0,394.0
OGCSNGAMU00000004,OGCSNGAMU00000004,"Amul Ghee Tetra, 500 ml",10,10,0,103.0,0.0,5.0,14.0,118.0
SCSSNGCAT00000069,SCSSNGCAT00000069,"Catch Red Chilli Powder, 100 gm",52,52,0,52.0,0.0,24.0,64.0,342.0
SCSSNGCAT00000065,SCSSNGCAT00000065,"Catch Red Chili Powder Pouch, 200GM",25,25,0,10.0,0.0,0.0,25.0,133.0
SCSSNGCAT00000008,SCSSNGCAT00000008,"Catch Hing, 25 gm",10,10,0,0.0,0.0,0.0,80.0,300.0
SCSSNGCAT00000083,SCSSNGCAT00000083,"Catch Hing, 50 gm",25,25,0,10.0,0.0,16.0,25.0,202.0
SCSSNGCAT00000085,SCSSNGCAT00000085,Catch Red Chilli Powder 500 G Pouch,2,2,0,0.0,0.0,0.0,2.0,96.0
OGCSNGMAH00000005,OGCSNGMAH00000005,"Mahakosh Soyabean Pouch, 1 Ltr",144,144,0,0.0,0.0,780.0,156.0,5064.0
PCRPCRCOL00000012,PCRPCRCOL00000012,Colgate  Kids 0-2 SINGLE  Toothbrush,6,6,0,48.0,0.0,0.0,6.0,36.0
FGNSPLNUT00000003,FGNSPLNUT00000003,"Nutrela Soya Chunks, 200 gm (Box)",99,99,0,141.0,0.0,0.0,99.0,0.0
PLBSNGLDA00000022,PLBSNGLDA00000022,"Moong Dhuli Kori,30 kg",1,1,0,39.0,0.0,0.0,1.0,9.0
PLBSNGNUT00000005,PLBSNGNUT00000005,"Nutrela Soya Mini Chunks, 200 gm + 20 gm Extra (Box)",72,72,0,67.0,0.0,96.0,72.0,198.0
OGCSNGAMU00000006,OGCSNGAMU00000006,"Amul Ghee Tetra, 1 Ltr",6,6,0,172.0,0.0,2.0,11.0,55.0
OGCSNGMAD00000026,OGCSNGMAD00000026,"Madhusudan Desi Ghee Jar, 1 Ltr",9,9,0,3.0,0.0,0.0,9.0,66.0
PLBSNGLDA00000023,PLBSNGLDA00000023,"Moong Chilka, 30 kg",1,1,0,39.0,0.0,0.0,1.0,8.0
PLBSNGLDA00000030,PLBSNGLDA00000030,"Masoor Sabut, 30 Kg",2,2,0,32.0,0.0,1.0,2.0,3.0
PLBSNGLDA00000028,PLBSNGLDA00000028,"Malka Masoor Kori, 30 Kg",4,4,0,10.0,0.0,1.0,4.0,16.0
PCRPCRVAS00000002,PCRPCRVAS00000002,"VASELINE DEEP STORE LOTION, 20ML",0,0,0,0.0,0.0,9.0,0.0,98.0
BACSBFPAR00000002,BACSBFPAR00000002,Parle 20 20 Cashew Cookies 70 gm,0,0,0,0.0,0.0,14.0,0.0,76.0
CNPPROYLD00000035,CNPPROYLD00000035,"YD Potato Chips Cream-n-Onion, 31 gm",15,15,0,485.0,0.0,0.0,15.0,358.0
BDCHPCGNO00000003,BDCHPCGNO00000003,"Godrej No.1 Saffron and Milk Cream Soap, 100g (Buy 4 Get 1 Free)",28,28,0,30.0,0.0,1.0,28.0,91.0
CNPPROYLD00000011,CNPPROYLD00000011,"YD Potato Chips Spicy Treat, 13 gm + 2.6 gm extra",14,14,0,364.0,0.0,0.0,14.0,280.0
BDCHPCBOR00000002,BDCHPCBOR00000002,Boroplus Ointment 6 Ml pouch,45,45,0,5343.0,0.0,36.0,45.0,258.0
PCRPCRHNC00000003,PCRPCRHNC00000003,"Hair & Care Fruit Oils Green, 50 ml",21,21,0,83.0,0.0,6.0,27.0,63.0
CNPPROYLD00000010,CNPPROYLD00000010,"YD Potato Chips Magic Masala, 15 gm",1,1,0,337.0,0.0,0.0,1.0,138.0
THPDCRCOL00000015,THPDCRCOL00000015,"Colgate Strong Teeth,18 gm",36,36,0,216.0,0.0,12.0,216.0,624.0
CNNSBFLAY00000010,CNNSBFLAY00000010,Lays  Potato Chips - Spanish Tomato Tango - 55 gm  Pack,15,15,0,64.0,0.0,15.0,15.0,390.0
BDCHPCHIM00000002,BDCHPCHIM00000002,"Himalaya Lip Balm, 10 gm",2,2,0,41.0,0.0,2.0,2.0,20.0
BTSBDCLUX00000030,BTSBDCLUX00000030,"Lux Jasmine Bloom Soap, 100 gm",36,36,0,102.0,0.0,6.0,36.0,90.0
THBDCRCOL00000034,THBDCRCOL00000034,Colgate Super Flexi SOFT SINGLE Toothbrush (12 Super Flexi + 1 Charcoal Free),36,36,0,468.0,0.0,0.0,36.0,156.0
GRSGRSUTS00000001,GRSGRSUTS00000001,"Uttam Sulphurless Sugar, 5Kg",23,23,0,338.0,0.0,5.0,23.0,146.0
BTSBDCVIV00000001,BTSBDCVIV00000001,Vivel Aloe Vera 63gm,10,10,0,132.0,0.0,0.0,10.0,100.0
BACSBFPRI00000013,BACSBFPRI00000013,Priyagold Snacks Zig Zag Biscuit 75gm,0,0,0,206.0,0.0,30.0,130.0,396.0
NKMSNKCRX00000025,NKMSNKCRX00000025,CRAX NAV RATTAN (Mrp 5),24,24,0,384.0,0.0,0.0,48.0,260.0
SASPROMOR00000019,SASPROMOR00000019,Morton Tomato Ketchup ( N.P ) 200 gm,4,4,0,7.0,0.0,0.0,4.0,10.0
PLBSNGLOC00000037,PLBSNGLOC00000037,ECO CHANA DAL 1 KG,2,2,0,348.0,0.0,0.0,10.0,282.0
IFDPROAMU00000004,IFDPROAMU00000004,"Amulspray Infant Powder Tin, 500 Gm",108,108,0,120.0,0.0,12.0,108.0,25.0
IFDPROAMU00000003,IFDPROAMU00000003,"Amulspray Infant Powder Tin, 1 Kg",12,12,0,47.0,0.0,3.0,12.0,88.0
SCAWHGSTF00000008,SCAWHGSTF00000008,Stayfree Secure Cottony Extra Lagre 6N,9,9,0,411.0,0.0,0.0,12.0,75.0
SCAWHGSTF00000006,SCAWHGSTF00000006,"Stayfree secure cottony ,soft cover Regular , 7 S",9,9,0,10.0,0.0,12.0,9.0,77.0
BREBREEVD00000001,BREBREEVD00000001,"EVERYDAY Dairy Whitner Powder, 20gm",96,96,0,976.0,0.0,36.0,96.0,48.0
DTPDGTGPO00000004,DTPDGTGPO00000004,"GHADI DETERGENT POWDER, 135 GM",12,12,0,6007.0,0.0,0.0,17.0,559.0
HOKHOKGPO00000002,HOKHOKGPO00000002,"GHARI DETERGENT POWDER, 500 GM",129,129,0,0.0,0.0,0.0,129.0,270.0
ALFSNGAAS00000002,ALFSNGAAS00000002,"Aashirvaad Shudh Chakki Atta, 10 Kg",105,105,0,0.0,0.0,45.0,105.0,235.0
NDPPROMAG00000023,NDPPROMAG00000023,"MAGGI 2-MIN Masala Noodles, 420gm",66,66,0,24.0,0.0,18.0,232.0,708.0
TNCPDMNCF00000002,TNCPDMNCF00000002,"Nescafe Classic Dawn Jar, 50 gm",15,15,0,27.0,0.0,2.0,24.0,113.0
SCSSNGCAT00000086,SCSSNGCAT00000086,Catch Dal Makhani Masala 100 gm,4,4,0,45.0,0.0,0.0,4.0,31.0
HOKHOKGGN00000001,HOKHOKGGN00000001,Good knight Advanced Fast Card,52,52,0,317.0,0.0,0.0,80.0,275.0
OGCSNGMOT00000008,OGCSNGMOT00000008,"Moti Mustard Oil Pouch, 1 Ltr",2400,2400,0,0.0,0.0,96.0,2580.0,2628.0
RGRSNGFOR00000005,RGRSNGFOR00000005,"Fortune Rozana Basmati Rice, 1 kg",24,24,0,271.0,0.0,3.0,67.0,316.0
SSJSNGTSL00000003,SSJSNGTSL00000003,"Tata Salt,1 kg Mrp 21",1550,1550,0,8000.0,0.0,450.0,1550.0,
BEVBEVTAZ00000005,BEVBEVTAZ00000005,"Taaza Tea, 15 gm",45,45,0,33.0,0.0,36.0,86.0,856.0
PCRPCRBAD00000004,PCRPCRBAD00000004,"Bajaj Almond Drop Oil, 50 ml",28,28,0,188.0,0.0,0.0,28.0,217.0
BEVBEVMDE00000010,BEVBEVMDE00000010,"Mountain Dew, 2.25 Ltr",45,45,0,131.0,9.0,27.0,72.0,3744.0
CBDBNCLIM00000002,CBDBNCLIM00000002,"Limca, 2 Ltr",27,27,0,15.0,0.0,18.0,27.0,
BEVBEVCOC00000011,BEVBEVCOC00000011,"Coke, 750 ml",216,216,0,1008.0,0.0,192.0,240.0,1392.0
CBDBNCTHU00000001,CBDBNCTHU00000001,"Thums Up, 2 Ltr",36,36,0,2.0,0.0,27.0,36.0,63.0
OGCSNGNFS00000001,OGCSNGNFS00000001,"Nature Fresh Refined Soyabean Oil Pouch, 1Ltr",204,204,0,9888.0,0.0,204.0,348.0,2364.0
OGCSNGFOR00000046,OGCSNGFOR00000046,"Fortune Kachi Ghani Mustard Pet, 1 Ltr",180,180,0,4560.0,0.0,360.0,432.0,4752.0
CHCCNFPRI00000001,CHCCNFPRI00000001,Priyagold Hunk Pouch,6,6,0,126.0,0.0,12.0,6.0,216.0
HROHARDAM00000007,HROHARDAM00000007,"Dabur Amla Hair Oil, 50 ml",6,6,0,2.0,0.0,4.0,6.0,272.0
LBCLQCGPH00000012,LBCLQCGPH00000012,"Gainda Napthalene Balls, 100 gm",33,33,0,29.0,0.0,12.0,42.0,356.0
CHOBNCFIV00000004,CHOBNCFIV00000004,Cadbury Five Star Chocolate Home Pack 200 gm,1,1,0,9.0,0.0,0.0,1.0,16.0
PKPPROMTR00000004,PKPPROMTR00000004,MTR 3 Minute Breakfast Vegetable Upma Pouch 60 gm,0,0,0,127.0,0.0,0.0,0.0,105.0
BFDSNGAMU00000004,BFDSNGAMU00000004,"Amul Fresh Cream Tetra, 250 mL",4,4,0,27.0,0.0,3.0,19.0,710.0
WHGHPCSTF00000002,WHGHPCSTF00000002,Stayfree Secure Ultra 10's,2,2,0,750.0,0.0,0.0,2.0,8.0
BEVBEVBOO00000006,BEVBEVBOO00000006,Boomer Watermelon Jelly Chewing Gum Big Jar (184 pcs+8 Pcs Free),0,0,0,0.0,0.0,2.0,0.0,1.0
BEVBEVTHU00000011,BEVBEVTHU00000011,"Thums Up, 750 ml",336,336,0,6482.0,0.0,168.0,720.0,4704.0
BKDPROTIL00000002,BKDPROTIL00000002,Suji Rusk 400 Gm,0,0,0,2.0,0.0,0.0,0.0,38.0
OGCSNGMAD00000028,OGCSNGMAD00000028,"Madhusudan Desi Ghee Tetra, 500 mL",13,13,0,655.0,0.0,18.0,32.0,51.0
NDPPROPAT00000001,NDPPROPAT00000001,Patanjali Atta Noodles Classic 60 gm,108,108,0,9925.0,0.0,324.0,534.0,4488.0
BSCBSCYIP00000003,BSCBSCYIP00000003,"ITC Yippee Magic Masala Noodles, 60gm",5592,5592,0,36448.0,0.0,336.0,6612.0,45600.0
OGCSNGMAD00000033,OGCSNGMAD00000033,"Madhusudan Desi Ghee ,  200 mL Jar",357,357,0,393.0,0.0,12.0,357.0,
THBDCRCOL00000037,THBDCRCOL00000037,Colgate Zig Zag Anti-Bacterial 6 pc hanger Medium 6+1,18,18,0,126.0,0.0,0.0,18.0,78.0
THPDCRCOL00000012,THPDCRCOL00000012,"Colgate Maxfresh Blue Toothpaste, 150gm",2,2,0,2.0,0.0,1.0,2.0,20.0
OGCSNGMAD00000031,OGCSNGMAD00000031,"Madhusudan Pure Ghee Poly, 500 mL",0,0,0,296.0,0.0,4.0,0.0,
OGCSNGPAT00000008,OGCSNGPAT00000008,"Patanjali Cow Ghee Tetra, 1Ltr + Patanjali Sabji Masala, 100 gm FREE",14,14,0,86.0,0.0,2.0,12.0,200.0
BKDPROTOP00000025,BKDPROTOP00000025,TOPS SNACKMIX KHAMAN DHOKLA 200G,2,2,0,7.0,0.0,0.0,2.0,6.0
BICPROBAK00000040,BICPROBAK00000040,Bakkii Badam Bite 200 g,4,4,0,84.0,0.0,2.0,4.0,134.0
PKPPROFNF00000012,PKPPROFNF00000012,Funfoods Sandwich Spread Thousnd Island EL 300g,5,5,0,3.0,0.0,3.0,5.0,73.0
PCRPCRGEX00000001,PCRPCRGEX00000001,Godrej Expert Rich Creme Hair Colour Natural Black (1.00),91,91,0,143.0,0.0,32.0,91.0,134.0
BEVBEVMDE00000012,BEVBEVMDE00000012,"Mountain Dew, 750 ml",168,168,0,2660.0,0.0,48.0,336.0,36426.0
OGCSNGMAA00000002,OGCSNGMAA00000002,"Maanik Soya Bean Refined Oil Pouch,1 Ltr",132,132,0,1568.0,0.0,0.0,144.0,780.0
SSJSNGLOC00000010,SSJSNGLOC00000010,"Eco Refined Sugar, 2 Kg",43,43,0,960.0,0.0,0.0,154.0,629.0
OGCSNGMAA00000003,OGCSNGMAA00000003,"Maanik Soya Bean Refined, 500 ml (pouch)",48,48,0,722.0,0.0,48.0,48.0,813.0
BICPROBAK00000041,BICPROBAK00000041,Bakkii Kaju Pista 200 g,5,5,0,72.0,0.0,5.0,5.0,139.0
BICPROPRI00000003,BICPROPRI00000003,Priyagold Butter Lite Jeera75G,50,50,0,20.0,0.0,100.0,50.0,280.0
BICPROPRI00000009,BICPROPRI00000009,Priyagold Choco Chekkers,5,5,0,0.0,0.0,0.0,70.0,809.0
PKPPROSMJ00000001,PKPPROSMJ00000001,"Smith & Jones Ginger Garlic Paste, 25 gm",16,16,0,193.0,0.0,0.0,16.0,30.0
BICPROBAK00000039,BICPROBAK00000039,Bakkii Dry Fruit Delight 200 g,1,1,0,42.0,0.0,2.0,1.0,
SNGSNGPBS00000004,SNGSNGPBS00000004,"PAN Poha, 500 gm",3,3,0,346.0,0.0,0.0,10.0,63.0
BICPROANL00000022,BICPROANL00000022,Anmol Hit & Run 100Gm,20,20,0,61.0,0.0,0.0,20.0,20.0
BEVBEVDIE00000001,BEVBEVDIE00000001,"Diet Coke - CAN, 300ML",96,96,0,240.0,0.0,24.0,96.0,
BFDSNGAMU00000003,BFDSNGAMU00000003,"Amul Fresh Cream Tetra, 1 Ltr",252,252,0,0.0,0.0,0.0,252.0,63.0
OGCSNGMAD00000023,OGCSNGMAD00000023,"Madhusudan Desi Ghee Tetra, 1 Ltr",24,24,0,290.0,0.0,18.0,75.0,431.0
HARHPCHNS00000001,HARHPCHNS00000001,"H&S Shampoo Smooth & Silky, 8.5ml + Conditioner 9ml",32,32,0,183.0,0.0,16.0,32.0,22.0
HARHPCHNS00000002,HARHPCHNS00000002,"H&S Shampoo Silky Black, 8.5ml + Conditioner 9ml",32,32,0,877.0,0.0,0.0,32.0,
OGCSNGMAD00000032,OGCSNGMAD00000032,Madhusudan Desi Ghee Poly pack 1 Ltr,10,10,0,50.0,0.0,0.0,10.0,
PLBSNGLOC00000049,PLBSNGLOC00000049,ECO MOONG DHULI 1 KG,18,18,0,54.0,0.0,3.0,77.0,293.0
SSJSNGMDR00000002,SSJSNGMDR00000002,"Madhur Pure & Hygienic Sugar, 5 Kg",4,4,0,41.0,0.0,10.0,4.0,65.0
OGCSNGAMU00000010,OGCSNGAMU00000010,"Amul Ghee Tetra, 1 Ltr",42,42,0,52.0,0.0,2.0,64.0,527.0
BEVBEVMIR00000006,BEVBEVMIR00000006,"Mirinda, 2.25 Ltr",18,18,0,9.0,0.0,0.0,18.0,144.0
OGCSNGRUG00000002,OGCSNGRUG00000002,"Ruchi Gold Palm Oil, 1 Litre",160,160,0,2265.0,0.0,50.0,430.0,2115.0
PLBSNGLOC00000045,PLBSNGLOC00000045,ECO MASOOR MALKA 1 KG,5,5,0,275.0,0.0,2.0,44.0,255.0
SSJSNGLOC00000011,SSJSNGLOC00000011,"Eco Refined Sugar, 1 Kg",15,15,0,136.0,0.0,0.0,15.0,1269.0
PLBSNGLOC00000036,PLBSNGLOC00000036,ECO ARHAR DAL 500 GM,21,21,0,1183.0,0.0,0.0,47.0,1553.0
PLBSNGLOC00000050,PLBSNGLOC00000050,ECO MOONG DHULI 500 GM,15,15,0,347.0,0.0,0.0,88.0,288.0
PLBSNGLOC00000046,PLBSNGLOC00000046,ECO MASOOR MALKA 500 GM,7,7,0,172.0,0.0,2.0,82.0,399.0
BSOBGMJJJ00000003,BSOBGMJJJ00000003,"JohnsonS Baby Soap, 150 gm",9,9,0,7.0,0.0,0.0,13.0,40.0
OGCSNGMAH00000007,OGCSNGMAH00000007,"Mahakosh Soyabean Pouch, 1 Ltr",360,360,0,0.0,0.0,4584.0,480.0,360.0
BEVBEVTRO00000007,BEVBEVTRO00000007,"Tropicana - Mixed Fruit Delight Fruit Juice, 200ml",29,29,0,0.0,0.0,0.0,29.0,
GRSGRSMDH00000009,GRSGRSMDH00000009,"MDH Jeera Pwd, 100G",2,2,0,93.0,0.0,4.0,2.0,14.0
SCSSNGMDH00000001,SCSSNGMDH00000001,"MDH Pav Bhaji Masala, 100 gm",4,4,0,21.0,0.0,0.0,4.0,98.0
BBPBGMJNJ00000007,BBPBGMJNJ00000007,"JohnsonS Baby Powder, 200 gm",6,6,0,44.0,0.0,2.0,6.0,17.0
PROPROMAG00000003,PROPROMAG00000003,Maggi Pazzta Masala,12,12,0,101.0,0.0,4.0,20.0,150.0
HPCHPCDOV00000003,HPCHPCDOV00000003,"Dove Daily Shine Conditioner Sachet, 7 ml",64,64,0,2430.0,0.0,20.0,80.0,318.0
HOKHOKFCK00000001,HOKHOKFCK00000001,"FENA DETERGENT CAKE, 95 GM",40,40,0,7950.0,0.0,0.0,40.0,1120.0
BTSBDCDET00000005,BTSBDCDET00000005,"Dettol Soap Skincare, 75 gm",21,21,0,0.0,0.0,16.0,21.0,73.0
