Destination SKU ID,Packing Material SKU ID,Wt of Packing Material used to create 1 unit of Destination SKU in  gm
SSJSNGLOC00000010,CONCONGMF00000051,9
SSJSNGECS00000003,CONCONGMF00000051,9
SSJSNGLOC00000011,CONCONGMF00000051,9
PLBSNGECP00000001,CONCONGMF00000051,9
PLBSNGLOC00000035,CONCONGMF00000051,9
PLBSNGECP00000003,CONCONGMF00000051,9
PLBSNGLOC00000037,CONCONGMF00000051,9
PLBSNGLOC00000039,CONCONGMF00000051,9
PLBSNGLOC00000041,CONCONGMF00000051,9
PLBSNGECP00000005,CONCONGMF00000051,9
PLBSNGLOC00000045,CONCONGMF00000051,9
PLBSNGECP00000007,CONCONGMF00000051,9
PLBSNGLOC00000049,CONCONGMF00000051,9
PLBSNGECP00000010,CONCONGMF00000051,9
PLBSNGLOC00000052,CONCONGMF00000051,9
PLBSNGLOC00000056,CONCONGMF00000051,9
RGRSNGGMF00000001,CONCONGMF00000051,9
RGRSNGGMF00000002,CONCONGMF00000051,9
RGRSNGGMF00000003,CONCONGMF00000051,9
RGRSNGGMF00000004,CONCONGMF00000051,9
RGRSNGGMF00000005,CONCONGMF00000051,9
RGRSNGGMF00000006,CONCONGMF00000051,9
RGRSNGGMF00000007,CONCONGMF00000051,9
RGRSNGGMF00000008,CONCONGMF00000051,9
RGRSNGGMF00000009,CONCONGMF00000051,9
RGRSNGGMF00000018,CONCONGMF00000051,9
RGRSNGGMF00000018,CONCONGMF00000051,9
GRSGRSECO00000001,CONCONGMF00000051,9
,CONCONGMF00000031,12
,CONCONGMF00000010,8
,CONCONGMF00000009,9
NDPPROGPF00000002,CONCONGMF00000008,6
NDPPROGPF00000006,CONCONGMF00000008,6
NDPPROGPF00000005,CONCONGMF00000008,6
NDPPROGPF00000004,CONCONGMF00000008,6
NDPPROGPF00000003,CONCONGMF00000008,6
SHSSNGSPI00000054,CONCONGMF00000008,6
SHSSNGSPI00000056,CONCONGMF00000008,6
SHSSNGSPI00000071,CONCONGMF00000008,6
SHSSNGSPI00000057,CONCONGMF00000008,6
SHSSNGSPI00000059,CONCONGMF00000008,6
SHSSNGSPI00000031,CONCONGMF00000008,6
SHSSNGSPI00000033,CONCONGMF00000008,6
DFNSNGDRY00000003,CONCONGMF00000008,6
SNGSNGGMF00000004,CONCONGMF00000005,7
SNGSNGGMF00000051,CONCONGMF00000004,5
SNGSNGGMF00000052,CONCONGMF00000004,5
SNGSNGGMF00000053,CONCONGMF00000004,5
ALFSNGGFF00000001,CONCONGMF00000002,8
SNGSNGGMF00000008,CONCONGMF00000006,4
PLBSNGGFP00000002,CONCONGMF00000006,4
SNGSNGGMF00000007,CONCONGMF00000006,4
PLBSNGGFP00000004,CONCONGMF00000006,4
SNGSNGGMF00000012,CONCONGMF00000006,4
PLBSNGGFP00000006,CONCONGMF00000006,4
SNGSNGGMF00000014,CONCONGMF00000006,4
PLBSNGGFP00000008,CONCONGMF00000006,4
PLBSNGGFP00000010,CONCONGMF00000006,4
SNGSNGGMF00000016,CONCONGMF00000006,4
PLBSNGGFP00000012,CONCONGMF00000006,4
SNGSNGGMF00000018,CONCONGMF00000006,4
SNGSNGGMF00000020,CONCONGMF00000006,4
PLBSNGGFP00000014,CONCONGMF00000006,4
SNGSNGGMF00000022,CONCONGMF00000006,4
PLBSNGGFP00000028,CONCONGMF00000006,4
SNGSNGGMF00000024,CONCONGMF00000006,4
PLBSNGGFP00000017,CONCONGMF00000006,4
SNGSNGGMF00000026,CONCONGMF00000006,4
PLBSNGGFP00000019,CONCONGMF00000006,4
SNGSNGGMF00000028,CONCONGMF00000006,4
PLBSNGGFP00000060,CONCONGMF00000006,4
SNGSNGGMF00000030,CONCONGMF00000006,4
SNGSNGGMF00000032,CONCONGMF00000006,4
SNGSNGGMF00000034,CONCONGMF00000006,4
SNGSNGGMF00000036,CONCONGMF00000006,4
SNGSNGGMF00000038,CONCONGMF00000006,4
SNGSNGGMF00000040,CONCONGMF00000006,4
PLBSNGGFP00000027,CONCONGMF00000006,4
SNGSNGGMF00000042,CONCONGMF00000006,4
SNGSNGGMF00000044,CONCONGMF00000006,4
SNGSNGGMF00000046,CONCONGMF00000006,4
SNGSNGGMF00000010,CONCONGMF00000006,4
PLBSNGGFP00000021,CONCONGMF00000006,4
SNGSNGGMF00000048,CONCONGMF00000006,4
PLBSNGGFP00000023,CONCONGMF00000006,4
SNGSNGGMF00000050,CONCONGMF00000006,4
PLBSNGGFP00000025,CONCONGMF00000006,4
SNGSNGGMF00000005,CONCONGMF00000007,8
PLBSNGGFP00000001,CONCONGMF00000007,8
SNGSNGGMF00000006,CONCONGMF00000007,8
PLBSNGGFP00000003,CONCONGMF00000007,8
SNGSNGGMF00000011,CONCONGMF00000007,8
PLBSNGGFP00000005,CONCONGMF00000007,8
PLBSNGGFP00000007,CONCONGMF00000007,8
SNGSNGGMF00000013,CONCONGMF00000007,8
PLBSNGGFP00000009,CONCONGMF00000007,8
SNGSNGGMF00000015,CONCONGMF00000007,8
SNGSNGGMF00000017,CONCONGMF00000007,8
PLBSNGGFP00000011,CONCONGMF00000007,8
SNGSNGGMF00000019,CONCONGMF00000007,8
PLBSNGGFP00000013,CONCONGMF00000007,8
SNGSNGGMF00000021,CONCONGMF00000007,8
PLBSNGGFP00000015,CONCONGMF00000007,8
SNGSNGGMF00000023,CONCONGMF00000007,8
PLBSNGGFP00000016,CONCONGMF00000007,8
PLBSNGGFP00000018,CONCONGMF00000007,8
SNGSNGGMF00000027,CONCONGMF00000007,8
PLBSNGGFP00000059,CONCONGMF00000007,8
SNGSNGGMF00000029,CONCONGMF00000007,8
SNGSNGGMF00000031,CONCONGMF00000007,8
SNGSNGGMF00000033,CONCONGMF00000007,8
SNGSNGGMF00000035,CONCONGMF00000007,8
SNGSNGGMF00000037,CONCONGMF00000007,8
SNGSNGGMF00000039,CONCONGMF00000007,8
PLBSNGGFP00000026,CONCONGMF00000007,8
SNGSNGGMF00000041,CONCONGMF00000007,8
SNGSNGGMF00000043,CONCONGMF00000007,8
SNGSNGGMF00000045,CONCONGMF00000007,8
SNGSNGGMF00000009,CONCONGMF00000007,8
PLBSNGGFP00000020,CONCONGMF00000007,8
SNGSNGGMF00000047,CONCONGMF00000007,8
PLBSNGGFP00000022,CONCONGMF00000007,8
SNGSNGGMF00000049,CONCONGMF00000007,8
PLBSNGGFP00000024,CONCONGMF00000007,8
,CONCONGMF00000052,8
